Date,Open,High,Low,Close,Adj Close,Volume
2020-08-02,24566.810547,25201.439453,24167.789063,24531.619141,24531.619141,8603646100
2020-08-09,24376.820313,25490.019531,24272.669922,25183.009766,25183.009766,7839721400
2020-08-16,25212.279297,25588.669922,24621.320313,25113.839844,25113.839844,7828673100
2020-08-23,25352.789063,25749.400391,25186.419922,25422.060547,25422.060547,7789518300
2020-08-30,25732.490234,25847.109375,24488.640625,24695.449219,24695.449219,12675872200
2020-09-06,24621.019531,24908.289063,24213.359375,24503.310547,24503.310547,8162889200
2020-09-13,24569.029297,24829.869141,24250.900391,24455.410156,24455.410156,8061065600
2020-09-20,24483.910156,24542.550781,23124.250000,23235.419922,23235.419922,8505975500
2020-09-27,23284.089844,23780.869141,23250.339844,23459.050781,23459.050781,4426602000
2020-10-04,24039.390625,24343.810547,23674.519531,24119.130859,24119.130859,6823955600
2020-10-11,24217.250000,24808.849609,24102.210938,24386.789063,24386.789063,9812174200
2020-10-18,24565.429688,24970.589844,24456.839844,24918.779297,24918.779297,12269064700
2020-10-25,24839.970703,24872.519531,24029.949219,24107.419922,24107.419922,8921598200
2020-11-01,24274.830078,25799.970703,24232.660156,25712.970703,25712.970703,11893295700
2020-11-08,26157.769531,26474.039063,25909.179688,26156.859375,26156.859375,15432144800
2020-11-15,26362.070313,26618.009766,26191.539063,26451.539063,26451.539063,11340805200
2020-11-22,26659.789063,27040.410156,26369.339844,26894.679688,26894.679688,11821369400
2020-11-29,26853.390625,26960.929688,26322.679688,26835.919922,26835.919922,19046150500
2020-12-06,26870.580078,26870.580078,26256.400391,26505.869141,26505.869141,12384407000
2020-12-13,26522.099609,26678.380859,26127.679688,26498.599609,26498.599609,12184015100
2020-12-20,26422.619141,26498.650391,25998.869141,26386.560547,26386.560547,7099776000
2020-12-27,26288.369141,27340.990234,26264.320313,27231.130859,27231.130859,9581845100
2021-01-03,27087.130859,27920.769531,27079.240234,27878.220703,27878.220703,18674742800
2021-01-10,28003.980469,28667.589844,27781.419922,28573.859375,28573.859375,19016031800
2021-01-17,28454.589844,30135.500000,28390.289063,29447.849609,29447.849609,17849151000
2021-01-24,29677.300781,30191.160156,28259.730469,28283.710938,28283.710938,17876438400
2021-01-31,28457.849609,29511.000000,28382.259766,29288.679688,29288.679688,13592339200
2021-02-07,29629.080078,30184.169922,29263.980469,30173.570313,30173.570313,7238173600
2021-02-14,30675.820313,31183.359375,30099.710938,30644.730469,30644.730469,13418481800
2021-02-21,31071.609375,31071.609375,28980.210938,28980.210938,28980.210938,21692241200
2021-02-28,29457.890625,29912.000000,28513.130859,29098.289063,29098.289063,15708152000
2021-03-07,29362.589844,29550.369141,28326.130859,28739.720703,28739.720703,19289137100
2021-03-14,28923.949219,29596.580078,28612.740234,28990.939453,28990.939453,13277840400
2021-03-21,28801.089844,29139.070313,27505.080078,28336.429688,28336.429688,11814925000
2021-03-28,28317.320313,28938.740234,28132.359375,28938.740234,28938.740234,10054311400
2021-04-04,29101.400391,29152.439453,28587.109375,28698.800781,28698.800781,6643201400
2021-04-11,28791.970703,29079.179688,28274.269531,28969.710938,28969.710938,10090216900
2021-04-18,28960.130859,29319.759766,28506.759766,29078.750000,29078.750000,10072263600
2021-04-25,29106.449219,29405.119141,28701.689453,28724.880859,28724.880859,10111020800
2021-05-02,28659.910156,28884.029297,28256.029297,28610.650391,28610.650391,10052104100
2021-05-09,28776.990234,28842.109375,27715.880859,28027.570313,28027.570313,10922679300
2021-05-16,28130.509766,28617.339844,28074.140625,28458.439453,28458.439453,8042095200
2021-05-23,28417.990234,29336.130859,28195.519531,29124.410156,29124.410156,12986771400
2021-05-30,29225.460938,29490.609375,28737.970703,28918.099609,28918.099609,11250110200
2021-06-06,28985.599609,29003.990234,28615.609375,28842.130859,28842.130859,9985789800
2021-06-13,28946.439453,28946.439453,28216.089844,28801.269531,28801.269531,10079675800
2021-06-20,28501.640625,29305.169922,28299.660156,29288.220703,29288.220703,10328791400
2021-06-27,29366.490234,29394.689453,28231.730469,28310.419922,28310.419922,8736794600
2021-07-04,28098.910156,28338.789063,26861.869141,27344.539063,27344.539063,11220673700
2021-07-11,27672.699219,28218.529297,27420.349609,28004.679688,28004.679688,9965729100
2021-07-18,27786.539063,27786.539063,26971.029297,27321.980469,27321.980469,8800034900
2021-07-25,26825.730469,26878.750000,24748.839844,25961.029297,25961.029297,16441650400
2021-08-01,26054.810547,26650.820313,25743.089844,26179.400391,26179.400391,8810476200
2021-08-08,25969.230469,26822.470703,25920.849609,26391.619141,26391.619141,8726027400
2021-08-15,26365.189453,26449.710938,24581.599609,24849.720703,24849.720703,10865167000
2021-08-22,25169.449219,25982.640625,25036.990234,25407.890625,25407.890625,9316413100
2021-08-29,25406.490234,26359.310547,25110.720703,25901.990234,25901.990234,11668784000
2021-09-05,25827.169922,26560.039063,25624.519531,26205.910156,26205.910156,9708132700
2021-09-12,25885.300781,25900.679688,24424.740234,24920.759766,24920.759766,12737500500
2021-09-19,24640.429688,24827.460938,23771.460938,24192.160156,24192.160156,9457688200
2021-09-26,24131.419922,24694.460938,24045.990234,24575.640625,24575.640625,8512163300
2021-10-03,24478.679688,25064.800781,23681.439453,24837.849609,24837.849609,9315570700
2021-10-10,25161.800781,25437.160156,24865.800781,25330.960938,25330.960938,6294810600
2021-10-17,25425.320313,26229.800781,25123.250000,26126.929688,26126.929688,8927510900
2021-10-24,26020.779297,26234.939453,25314.240234,25377.240234,25377.240234,8681856500
2021-10-31,25268.349609,25639.660156,24724.390625,24870.509766,24870.509766,8901947500
2021-11-07,24743.539063,25527.130859,24481.259766,25327.970703,25327.970703,8239347200
2021-11-14,25437.990234,25746.710938,24825.429688,25049.970703,25049.970703,6861610800
2021-11-21,25057.060547,25099.949219,24062.259766,24080.519531,24080.519531,7780418400
2021-11-28,23910.490234,24134.320313,23175.369141,23766.689453,23766.689453,12250632500
2021-12-05,23420.439453,24324.839844,23314.970703,23995.720703,23995.720703,9413544900
2021-12-12,24242.259766,24385.439453,23155.619141,23192.630859,23192.630859,8376449600
2021-12-19,23079.830078,23383.189453,22665.250000,23223.759766,23223.759766,6574387800
2021-12-26,23282.349609,23590.119141,22990.240234,23397.669922,23397.669922,3945743500
